id,title,company,location,link,date_posted
669,"Data Engineer I, SCOT - AIM",Amazon,Bengaluru,https://in.linkedin.com/jobs/view/data-engineer-i-scot-aim-at-amazon-4190422126,4/12/2025
670,Data Engineer,Chevron,Manila,https://ph.linkedin.com/jobs/view/data-engineer-at-chevron-4204640351,4/10/2025
671,Data Engineer,Samba TV,Amsterdam,https://nl.linkedin.com/jobs/view/data-engineer-at-samba-tv-4178427653,4/15/2025
672,Data Engineer,Thales,"Gambir, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-engineer-at-thales-4150402789,4/17/2025
673,Data Engineer,Ford Motor Company,Chennai,https://in.linkedin.com/jobs/view/data-engineer-at-ford-motor-company-4189411137,4/10/2025
674,Data Engineer,Mphasis,Bengaluru,https://in.linkedin.com/jobs/view/data-engineer-at-mphasis-4199976442,4/14/2025
675,Associate Data Engineer,Commonwealth Bank,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-engineer-at-commonwealth-bank-4192051925,4/14/2025
677,Data Engineer - C10,Citi,Pune,https://in.linkedin.com/jobs/view/data-engineer-c10-at-citi-4173181108,4/16/2025
679,Data Engineer - Commerce Platform,Spotify,London,https://uk.linkedin.com/jobs/view/data-engineer-commerce-platform-at-spotify-4190419292,4/12/2025
680,Data Engineer,Coca-Cola HBC,Cairo,https://eg.linkedin.com/jobs/view/data-engineer-at-coca-cola-hbc-4209248249,4/13/2025
682,Data Engineer - Enterprise Data Operations Analyst,PepsiCo,Hyderabad,https://in.linkedin.com/jobs/view/data-engineer-enterprise-data-operations-analyst-at-pepsico-4189594243,4/14/2025
683,Jr. Data Engineer,Procter & Gamble,Istanbul,https://tr.linkedin.com/jobs/view/jr-data-engineer-at-procter-gamble-4204918888,4/10/2025
684,Data Engineer - C11,Citi,Pune,https://in.linkedin.com/jobs/view/data-engineer-c11-at-citi-4173182005,4/16/2025
687,Python & SQL Data Engineer_Director_Software Engineering,Morgan Stanley,Mumbai,https://in.linkedin.com/jobs/view/python-sql-data-engineer-director-software-engineering-at-morgan-stanley-4207479249,4/12/2025
688,"Senior Software Engineer, Systems Infrastructure",LinkedIn,Bengaluru,https://in.linkedin.com/jobs/view/senior-software-engineer-systems-infrastructure-at-linkedin-4184541595,4/11/2025
689,Data Analytics Engineer,Checkout.com,London,https://uk.linkedin.com/jobs/view/data-analytics-engineer-at-checkout-com-4207972348,4/14/2025
690,Data Engineer (Platform),tiket.com,Jakarta,https://id.linkedin.com/jobs/view/data-engineer-platform-at-tiket-com-4206299104,4/11/2025
691,Data Engineer- Python Pyspark,Virtusa,Chennai,https://in.linkedin.com/jobs/view/data-engineer-python-pyspark-at-virtusa-4189441319,4/10/2025
692,Data Engineer with Pyspark,Cognizant,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-with-pyspark-at-cognizant-4187328761,4/13/2025
693,Data Engineer,Mercedes-Benz Malaysia,Puchong,https://my.linkedin.com/jobs/view/data-engineer-at-mercedes-benz-malaysia-4211294985,4/16/2025
740,Data Engineer I,IntePros,Seattle,https://www.linkedin.com/jobs/view/data-engineer-i-at-intepros-4207655459,4/15/2025
741,Data Engineer,Snap Inc.,"Bellevue, Washington",https://www.linkedin.com/jobs/view/data-engineer-at-snap-inc-4211900730,4/16/2025
814,Data Analyst - SPX Express (Jakarta),Shopee,Jakarta,https://id.linkedin.com/jobs/view/data-analyst-spx-express-jakarta-at-shopee-4211853597,4/18/2025
826,Data Analyst,ExxonMobil,Houston,https://www.linkedin.com/jobs/view/data-analyst-at-exxonmobil-4212364177,4/17/2025
834,"Data Analyst II, Client Analytics",Omada Health,United States,https://www.linkedin.com/jobs/view/data-analyst-ii-client-analytics-at-omada-health-4149402618,4/19/2025
836,"Data Analyst, Supply Chain",SpaceX,"Redmond, Washington",https://www.linkedin.com/jobs/view/data-analyst-supply-chain-at-spacex-4173194833,4/17/2025
837,"Data Analyst, Global Partnerships & Content",Meta,New York City,https://www.linkedin.com/jobs/view/data-analyst-global-partnerships-content-at-meta-4208662503,4/17/2025
840,"Data Products Analyst, YouTube",Google,New York City,https://www.linkedin.com/jobs/view/data-products-analyst-youtube-at-google-4211857253,4/18/2025
842,"Data Analyst, Global Partnerships & Content",Meta,"Menlo Park, California",https://www.linkedin.com/jobs/view/data-analyst-global-partnerships-content-at-meta-4208660573,4/17/2025
845,"Data Analyst, Global Partnerships & Content",Meta,Los Angeles,https://www.linkedin.com/jobs/view/data-analyst-global-partnerships-content-at-meta-4208662505,4/17/2025
846,Data Analyst,Stripe,Chicago,https://www.linkedin.com/jobs/view/data-analyst-at-stripe-4218680400,5/19/2025
847,Data Analyst,Microsoft,"Redmond, Washington",https://www.linkedin.com/jobs/view/data-analyst-at-microsoft-4231325207,5/16/2025
848,Data Analyst III,Vimeo,New York City,https://www.linkedin.com/jobs/view/data-analyst-iii-at-vimeo-4230221998,5/19/2025
849,Data Analyst,The Walt Disney Company,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-4232140858,5/17/2025
850,Data Analyst Intern,Fizz,New York City,https://www.linkedin.com/jobs/view/data-analyst-intern-at-fizz-4228719663,5/16/2025
851,"Data Analyst, Experimentation",FanDuel,New York City,https://www.linkedin.com/jobs/view/data-analyst-experimentation-at-fanduel-4217870247,5/21/2025
858,"Data & Analytics, Analyst",TikTok,Los Angeles,https://www.linkedin.com/jobs/view/data-analytics-analyst-at-tiktok-4229290561,5/16/2025
859,"Sector Analyst, MI-Data",Point72,New York City,https://www.linkedin.com/jobs/view/sector-analyst-mi-data-at-point72-4128647515,5/17/2025
860,SQL Data analyst,FinThrive,United States,https://www.linkedin.com/jobs/view/sql-data-analyst-at-finthrive-4230651058,5/19/2025
861,Data Analyst,Numero Data,"Herndon, Virginia",https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-4228331140,5/15/2025
862,Data Analyst,Avant-garde Health,Boston,https://www.linkedin.com/jobs/view/data-analyst-at-avant-garde-health-4232580639,5/21/2025
863,"Sr. Analyst, Data & Analytics",Authentic Brands Group,New York City,https://www.linkedin.com/jobs/view/sr-analyst-data-analytics-at-authentic-brands-group-4229293070,5/16/2025
864,TikTok Shop - Data Analyst,TikTok,"San Jose, California",https://www.linkedin.com/jobs/view/tiktok-shop-data-analyst-at-tiktok-4076504945,5/15/2025
865,Junior Data Analyst,Mosaic North America,Dallas–Fort Worth metroplex,https://www.linkedin.com/jobs/view/junior-data-analyst-at-mosaic-north-america-4231466804,5/20/2025
866,Data Analyst,Alivi,Miami,https://www.linkedin.com/jobs/view/data-analyst-at-alivi-4231480871,5/20/2025
867,Data Analyst,Keurig Dr Pepper Inc.,"Frisco, Texas",https://www.linkedin.com/jobs/view/data-analyst-at-keurig-dr-pepper-inc-4233670197,5/20/2025
868,Data Analyst : 25-05044,"Akraya, Inc.","Palo Alto, California",https://www.linkedin.com/jobs/view/data-analyst-25-05044-at-akraya-inc-4232839511,5/22/2025
869,Data Analyst,Arc,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-arc-4203544758,5/20/2025
870,Data Analyst,Thryv,United States,https://www.linkedin.com/jobs/view/data-analyst-at-thryv-4234415909,5/21/2025
871,Data Analyst,"V-Soft Consulting Group, Inc.",Indianapolis,https://www.linkedin.com/jobs/view/data-analyst-at-v-soft-consulting-group-inc-4196431946,5/16/2025
872,Data Analyst,NovumHealth,Salt Lake City Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-novumhealth-4230836588,5/19/2025
873,Data Analyst (22227),Orion Innovation,"Edison, New Jersey",https://www.linkedin.com/jobs/view/data-analyst-22227-at-orion-innovation-4115209968,5/19/2025
874,BI / Data Analyst,Kforce Inc,"Cornelius, North Carolina",https://www.linkedin.com/jobs/view/bi-data-analyst-at-kforce-inc-4231017614,5/15/2025
875,Data Analyst,Foodsmart,United States,https://www.linkedin.com/jobs/view/data-analyst-at-foodsmart-4232219031,5/20/2025
876,Data Fulfillment Analyst,National Basketball Association (NBA),New York City,https://www.linkedin.com/jobs/view/data-fulfillment-analyst-at-national-basketball-association-nba-4139136904,5/18/2025
877,Data Analyst,Equifax,"Alpharetta, Georgia",https://www.linkedin.com/jobs/view/data-analyst-at-equifax-4217669921,5/17/2025
878,Data Analyst - People Analytics (Short-Term Employment),Meta,New York City,https://www.linkedin.com/jobs/view/data-analyst-people-analytics-short-term-employment-at-meta-4232509091,5/21/2025
879,Data Analyst,Javvy Coffee,United States,https://www.linkedin.com/jobs/view/data-analyst-at-javvy-coffee-4231966295,5/21/2025
880,"Analyst, Analytics",Publicis Collective,New York City,https://www.linkedin.com/jobs/view/analyst-analytics-at-publicis-collective-4079629635,5/16/2025
881,"Specialist, Commercial Data Reporting and Analysis",Delta Air Lines,Atlanta,https://www.linkedin.com/jobs/view/specialist-commercial-data-reporting-and-analysis-at-delta-air-lines-4215426063,5/15/2025
882,"Data Analyst, TOM Data Infra Team",Amazon,"Bellevue, Washington",https://www.linkedin.com/jobs/view/data-analyst-tom-data-infra-team-at-amazon-4234433462,5/21/2025
883,Data Analyst,Virtusa,"San Jose, California",https://www.linkedin.com/jobs/view/data-analyst-at-virtusa-4232261170,5/21/2025
884,Data Analyst,Swoon,Dallas,https://www.linkedin.com/jobs/view/data-analyst-at-swoon-4229299647,5/16/2025
885,Business Intelligence Analyst,Altimetrik,"Mountain View, California",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-altimetrik-4230907189,5/15/2025
886,Data Analyst,Insight Global,"Columbus, Ohio Metropolitan Area",https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-4231164868,5/20/2025
887,Tableau Data Analyst,Tradeweb,New York City,https://www.linkedin.com/jobs/view/tableau-data-analyst-at-tradeweb-4161528949,5/21/2025
888,Senior Data Analyst,FanDuel,New York City,https://www.linkedin.com/jobs/view/senior-data-analyst-at-fanduel-4229025428,5/15/2025
889,Senior Data Analyst,SHEIN,New Jersey,https://www.linkedin.com/jobs/view/senior-data-analyst-at-shein-4231689551,5/21/2025
890,Data Analyst,"Bell & Associates, Inc.","Nashville, Tennessee",https://www.linkedin.com/jobs/view/data-analyst-at-bell-associates-inc-4228329401,5/15/2025
891,Data Analyst,PENNYMAC,"Agoura Hills, California",https://www.linkedin.com/jobs/view/data-analyst-at-pennymac-4127686598,5/16/2025
892,GTM Tableau Data Analyst,Yext,New York City,https://www.linkedin.com/jobs/view/gtm-tableau-data-analyst-at-yext-4232561629,5/21/2025
893,Data Analyst,City of New York,Manhattan,https://www.linkedin.com/jobs/view/data-analyst-at-city-of-new-york-4229441539,5/16/2025
894,ESG Data Analyst,Malk Partners,New York City,https://www.linkedin.com/jobs/view/esg-data-analyst-at-malk-partners-4231302406,5/16/2025
895,Data Analyst,Engine,United States,https://www.linkedin.com/jobs/view/data-analyst-at-engine-4231485488,5/20/2025
896,Data & Analytics,Trace3,United States,https://www.linkedin.com/jobs/view/data-analytics-at-trace3-4197994052,5/16/2025
897,Data Analyst,AARATECH,California,https://www.linkedin.com/jobs/view/data-analyst-at-aaratech-4234708423,5/21/2025
898,Senior Data Analyst,Jake Taylor,United States,https://www.linkedin.com/jobs/view/senior-data-analyst-at-jake-taylor-4215925504,5/16/2025
899,"Analyst, Analytics",Starcom,New York City,https://www.linkedin.com/jobs/view/analyst-analytics-at-starcom-4214411986,5/19/2025
900,Data Analyst Intern,Envoy,San Francisco,https://www.linkedin.com/jobs/view/data-analyst-intern-at-envoy-4229546452,5/17/2025
901,"Sr. Data Analytics and Visualization Analyst ($95,000 - $110,000 salary)",Korn Ferry,"Sandy Springs, Georgia",https://www.linkedin.com/jobs/view/sr-data-analytics-and-visualization-analyst-%2495-000-%24110-000-salary-at-korn-ferry-4230200639,5/18/2025
902,Business Data Analyst,AppsFlyer,San Francisco,https://www.linkedin.com/jobs/view/business-data-analyst-at-appsflyer-4195232896,5/15/2025
903,Data Science Analyst II,Experian,"Costa Mesa, California",https://www.linkedin.com/jobs/view/data-science-analyst-ii-at-experian-4233174467,5/20/2025
904,Data Analyst (various levels open),"HRCap, Inc.",United States,https://www.linkedin.com/jobs/view/data-analyst-various-levels-open-at-hrcap-inc-4229012492,5/15/2025
905,Data Analyst,Vevo,New York City,https://www.linkedin.com/jobs/view/data-analyst-at-vevo-4233185666,5/20/2025
906,Data Analyst,Equitable,"Charlotte, North Carolina",https://www.linkedin.com/jobs/view/data-analyst-at-equitable-4203016289,5/21/2025
